countries,infected,infected_today,deaths,deaths_today,recovered,recovered_today,active,critical,tests,death_rate,recovery_rate
Kazakhstan,4160,111,29,0,1207,34,2924,40,320411,0.7,29.0
Luxembourg,3828,0,96,0,3405,0,327,21,48339,2.5,88.9
Bahrain,3533,0,8,0,1744,0,1781,1,149586,0.2,49.4
Afghanistan,3224,330,95,5,421,24,2708,7,13076,2.9,13.1
Hungary,3065,30,363,12,709,79,1993,55,85557,11.8,23.1
Thailand,2988,1,54,0,2747,7,187,61,227860,1.8,91.9
Nigeria,2802,244,93,6,417,17,2292,4,18536,3.3,14.9
Oman,2735,98,12,0,858,42,1865,17,40459,0.4,31.4
Ghana,2719,0,18,0,294,0,2407,4,129461,0.7,10.8
Greece,2632,0,146,0,1374,0,1112,35,80951,5.5,52.2
Armenia,2619,112,40,1,1111,40,1468,10,25846,1.5,42.4
Iraq,2346,0,98,0,1544,0,704,0,107586,4.2,65.8
Uzbekistan,2189,0,10,0,1454,49,725,8,325000,0.5,66.4
Cameroon,2104,27,64,0,953,0,1087,12,0,3.0,45.3
Croatia,2101,0,80,0,1522,0,499,15,39040,3.8,72.4
Azerbaijan,1984,0,26,0,1480,0,478,18,157932,1.3,74.6
Bosnia and Herzegovina,1926,0,78,0,855,0,993,4,34378,4.0,44.4
Iceland,1799,0,10,0,1723,0,66,0,50477,0.6,95.8
Estonia,1711,8,55,0,261,2,1395,6,57423,3.2,15.3
Guinea,1710,0,9,0,450,0,1251,0,0,0.5,26.3
Bulgaria,1689,37,78,0,342,21,1269,37,50303,4.6,20.2
Bolivia,1681,87,82,6,174,8,1425,3,7651,4.9,10.4
Cuba,1668,0,69,0,876,0,723,9,55542,4.1,52.5
North Macedonia,1518,0,85,0,992,0,441,21,17359,5.6,65.3
New Zealand,1486,-1,20,0,1302,26,164,0,155928,1.3,87.6
Slovenia,1439,0,97,0,241,0,1101,20,57504,6.7,16.7
Ivory Coast,1432,0,17,0,693,0,722,0,10778,1.2,48.4
Lithuania,1423,4,46,0,678,40,699,17,149106,3.2,47.6
Slovakia,1421,8,25,0,741,98,655,6,99864,1.8,52.1
Senegal,1271,0,10,0,415,0,846,6,17787,0.8,32.7
Honduras,1178,123,83,1,122,4,973,10,5243,7.0,10.4
Djibouti,1116,0,2,0,713,0,401,0,14222,0.2,63.9
Hong Kong,1041,0,4,0,920,20,117,1,154989,0.4,88.4
Tunisia,1018,0,43,0,406,0,569,18,24853,4.2,39.9
Latvia,896,0,17,1,348,0,531,4,66150,1.9,38.8
Cyprus,874,0,15,0,296,0,563,15,65725,1.7,33.9
Kosovo,855,0,26,0,403,0,426,0,0,3.0,47.1
Kyrgyzstan,843,13,11,1,600,25,232,13,56488,1.3,71.2
Albania,803,0,31,0,543,0,229,7,9006,3.9,67.6
Somalia,756,0,35,0,61,0,660,2,0,4.6,8.1
Niger,755,0,37,0,534,0,184,0,5309,4.9,70.7
Sri Lanka,755,4,9,1,197,3,549,1,26842,1.2,26.1
Andorra,750,0,45,0,499,0,206,16,1673,6.0,66.5
Costa Rica,742,0,6,0,399,0,337,5,13988,0.8,53.8
Lebanon,740,0,25,0,200,0,515,43,41014,3.4,27.0
Guatemala,730,27,19,2,79,7,632,5,7200,2.6,10.8
Cruise Ship,712,0,13,0,645,0,54,4,0,1.8,90.6
Mayotte,686,0,6,0,352,0,328,6,3400,0.9,51.3
Congo (Kinshasa),682,0,34,0,80,0,568,0,0,5.0,11.7
Sudan,678,0,41,0,61,0,576,0,0,6.0,9.0
Burkina Faso,672,0,46,0,545,0,81,0,0,6.8,81.1
Uruguay,657,0,17,0,447,0,193,10,22805,2.6,68.0
Georgia,604,11,9,0,240,17,355,6,15904,1.5,39.7
El Salvador,587,32,13,0,201,21,373,3,30387,2.2,34.2
San Marino,582,0,41,0,86,0,455,5,2457,7.0,14.8
Mali,580,0,29,0,223,0,328,0,2172,5.0,38.4
Maldives,557,16,1,0,17,-1,539,2,8327,0.2,3.1
Channel Islands,544,0,41,0,406,0,97,0,5342,7.5,74.6
Kenya,490,0,24,0,173,0,293,2,24784,4.9,35.3
Malta,480,0,4,0,399,0,77,1,36204,0.8,83.1
Tanzania,480,0,16,0,167,0,297,7,0,3.3,34.8
Jamaica,471,2,9,0,49,11,413,2,5633,1.9,10.4
Jordan,465,0,9,0,370,0,86,5,87618,1.9,79.6
Taiwan,438,0,6,0,334,0,98,0,64958,1.4,76.3
Réunion,424,0,0,0,300,0,124,2,0,0.0,70.8
Paraguay,415,19,10,0,130,4,275,7,10766,2.4,31.3
Guinea-Bissau,413,0,1,0,19,0,393,0,1500,0.2,4.6
Gabon,367,0,6,0,93,0,268,1,724,1.6,25.3
West Bank and Gaza,362,0,2,0,102,0,258,0,0,0.6,28.2
Palestine,362,0,2,0,102,0,258,0,32200,0.6,28.2
Venezuela,361,4,10,0,158,0,193,1,482953,2.8,43.8
Mauritius,332,0,10,0,316,0,6,3,18959,3.0,95.2
Isle of Man,325,0,23,0,271,0,31,21,3401,7.1,83.4
Montenegro,324,1,8,0,253,0,63,2,7816,2.5,78.1
Equatorial Guinea,315,0,3,0,13,0,299,0,854,1.0,4.1
Vietnam,271,0,0,0,232,13,39,8,261004,0.0,85.6
Rwanda,261,0,0,0,128,0,133,0,35096,0.0,49.0
Congo (Brazzaville),236,0,10,0,26,0,200,0,0,4.2,11.0
Tajikistan,230,0,3,0,0,0,227,0,0,1.3,0.0
Faroe Islands,187,0,0,0,185,0,2,0,8066,0.0,98.9
Martinique,181,0,14,0,83,0,84,5,0,7.7,45.9
Sierra Leone,178,0,9,0,37,0,132,0,0,5.1,20.8
Cabo Verde,175,0,2,0,37,0,136,0,791,1.1,21.1
Liberia,166,0,18,0,58,0,90,0,0,10.8,34.9
Myanmar,161,0,6,0,49,0,106,0,9025,3.7,30.4
Burma,161,0,6,0,49,0,106,0,0,3.7,30.4
Guadeloupe,152,0,12,0,98,0,42,5,0,7.9,64.5
Madagascar,149,0,0,0,99,0,50,1,3772,0.0,66.4
Ethiopia,145,5,4,1,91,16,50,0,25135,2.8,62.8
Gibraltar,144,0,0,0,133,0,11,0,2931,0.0,92.4
Brunei,138,0,1,0,131,1,6,2,14610,0.7,94.9
Zambia,137,0,3,0,78,0,56,1,7277,2.2,56.9
French Guiana,133,0,1,0,100,0,32,2,0,0.8,75.2
Togo,126,0,9,0,74,0,43,0,7891,7.1,58.7
Cambodia,122,0,0,0,120,0,2,1,12461,0.0,98.4
Chad,117,0,10,0,39,0,68,0,0,8.5,33.3
Trinidad and Tobago,116,0,8,0,102,3,6,0,2055,6.9,87.9
Eswatini,116,0,1,0,12,0,103,0,714,0.9,10.3
Bermuda,115,0,7,0,54,0,54,4,3270,6.1,47.0
Aruba,100,0,2,0,81,0,17,4,1758,2.0,81.0
Haiti,100,0,11,0,10,0,79,0,1026,11.0,10.0
Uganda,97,0,0,0,55,0,42,0,41478,0.0,56.7
Benin,96,0,2,0,50,0,44,0,0,2.1,52.1
Monaco,95,0,4,0,78,0,13,1,0,4.2,82.1
Guyana,92,0,9,0,27,0,56,3,579,9.8,29.3
CAR,85,0,0,0,10,0,75,0,3498,0.0,11.8
Bahamas,83,0,11,0,25,0,47,1,1391,13.3,30.1
Barbados,82,0,7,0,46,0,29,4,2458,8.5,56.1
Nepal,82,7,0,0,16,0,66,0,64492,0.0,19.5
Liechtenstein,82,0,1,0,55,0,26,0,900,1.2,67.1
Mozambique,80,0,0,0,19,0,61,0,2466,0.0,23.8
Sint Maarten,76,0,13,0,44,0,19,7,329,17.1,57.9
Cayman Islands,75,0,1,0,14,0,60,3,2528,1.3,18.7
Libya,63,0,3,0,23,0,37,0,2338,4.8,36.5
South Sudan,52,6,0,0,0,0,52,0,1247,0.0,0.0
Macau,45,0,0,0,39,0,6,1,0,0.0,86.7
Syria,44,0,3,0,27,0,14,0,0,6.8,61.4
Malawi,41,0,3,0,9,0,29,1,907,7.3,22.0
Mongolia,41,1,0,0,13,1,28,0,8889,0.0,31.7
Eritrea,39,0,0,0,26,0,13,0,0,0.0,66.7
Saint Martin,38,0,3,0,29,0,6,1,0,7.9,76.3
Angola,35,0,2,0,11,0,22,0,3000,5.7,31.4
Zimbabwe,34,0,4,0,5,0,25,0,7642,11.8,14.7
Antigua and Barbuda,25,0,3,0,15,0,7,1,151,12.0,60.0
Timor-Leste,24,0,0,0,20,0,4,0,664,0.0,83.3
Sao Tome and Principe,23,0,3,0,4,0,16,0,175,13.0,17.4
Botswana,23,0,1,0,8,0,14,0,8636,4.3,34.8
Grenada,21,0,0,0,13,0,8,4,1406,0.0,61.9
Laos,19,0,0,0,9,0,10,0,2418,0.0,47.4
Belize,18,0,2,0,14,1,2,1,1043,11.1,77.8
Saint Lucia,18,0,0,0,15,0,3,0,446,0.0,83.3
Fiji,18,0,0,0,14,0,4,0,1007,0.0,77.8
New Caledonia,18,0,0,0,17,0,1,1,5052,0.0,94.4
St. Vincent Grenadines,17,0,0,0,9,0,8,0,137,0.0,52.9
Gambia,17,0,1,0,9,0,7,0,401,5.9,52.9
Namibia,16,0,0,0,8,0,8,0,1122,0.0,50.0
Curaçao,16,0,1,0,13,0,2,0,351,6.2,81.2
Dominica,16,0,0,0,13,0,3,0,383,0.0,81.2
Burundi,15,0,1,0,7,0,7,0,284,6.7,46.7
Saint Kitts and Nevis,15,0,0,0,8,0,7,0,294,0.0,53.3
Nicaragua,15,0,5,0,7,0,3,0,0,33.3,46.7
Falkland Islands,13,0,0,0,13,0,0,0,388,0.0,100.0
Yemen,12,0,2,0,1,0,9,0,120,16.7,8.3
Turks and Caicos,12,0,1,0,6,0,5,0,107,8.3,50.0
Montserrat,11,0,1,0,7,0,3,1,36,9.1,63.6
Seychelles,11,0,0,0,6,0,5,0,0,0.0,54.5
Greenland,11,0,0,0,11,0,0,0,1294,0.0,100.0
Vatican City,11,0,0,0,2,0,9,0,0,0.0,18.2
Suriname,10,0,1,0,9,0,0,0,404,10.0,90.0
MS Zaandam,9,0,2,0,0,0,7,0,0,22.2,0.0
Papua New Guinea,8,0,0,0,8,2,0,0,2402,0.0,100.0
Mauritania,8,0,1,0,6,0,1,0,1032,12.5,75.0
Bhutan,7,0,0,0,5,0,2,0,11015,0.0,71.4
British Virgin Islands,6,0,1,0,3,0,2,0,0,16.7,50.0
Western Sahara,6,0,0,0,5,0,1,0,0,0.0,83.3
Caribbean Netherlands,6,0,0,0,0,0,6,0,110,0.0,0.0
St. Barth,6,0,0,0,6,0,0,0,0,0.0,100.0
Comoros,3,0,0,0,0,0,3,0,0,0.0,0.0
Anguilla,3,0,0,0,3,0,0,0,0,0.0,100.0
Saint Pierre Miquelon,1,0,0,0,0,0,1,0,0,0.0,0.0
United States,1238040,1053,72284,43,200669,985,965087,16179,7727938,5.8,16.2
Spain,250561,0,25613,0,154718,0,70230,2254,1932455,10.2,61.7
Italy,213013,0,29315,0,85231,0,98467,1427,2246666,13.8,40.0
United Kingdom,196120,1,29497,-1,864,0,165759,1559,1383842,15.0,0.4
France,170551,0,25531,0,52736,0,92284,3430,1100228,15.0,30.9
Germany,167007,0,6993,0,137400,2300,22614,1937,2547052,4.2,82.3
Russia,165929,10559,1537,86,21327,1462,143065,2300,4633731,0.9,12.9
Turkey,129491,0,3520,0,73285,0,52686,1338,1204421,2.7,56.6
Brazil,115953,1238,7958,37,48221,0,59774,8318,339552,6.9,41.6
Iran,99970,0,6340,0,80475,0,13155,2685,519543,6.3,80.5
China,83753,2,4634,0,78689,48,430,26,0,5.5,94.0
Canada,63158,8,4189,4,26993,55,31976,502,940567,6.6,42.7
Peru,51189,0,1444,0,15413,0,34332,709,406579,2.8,30.1
Belgium,50781,272,8339,323,12731,290,29711,646,474176,16.4,25.1
India,49436,36,1695,2,14183,41,33558,0,1276781,3.4,28.7
Netherlands,41188,0,5170,0,82,0,35936,644,235909,12.6,0.2
Ecuador,31881,0,1569,0,3433,0,26879,159,80171,4.9,10.8
Saudi Arabia,30251,0,200,0,5431,0,24620,143,376607,0.7,18.0
Switzerland,30009,0,1795,0,25400,0,2814,121,286403,6.0,84.6
Mexico,26025,1120,2507,236,16810,872,6708,378,100041,9.6,64.6
Portugal,25702,0,1074,0,1743,0,22885,134,469435,4.2,6.8
Sweden,23216,0,2854,0,4074,0,16288,435,148500,12.3,17.5
Pakistan,22550,501,526,12,6217,416,15807,111,232582,2.3,27.6
Chile,22016,0,275,0,10710,0,11031,470,222095,1.2,48.6
Ireland,21983,0,1339,0,13386,0,7258,93,214761,6.1,60.9
Singapore,20198,788,18,0,1519,0,18661,24,143919,0.1,7.5
Belarus,19255,905,112,5,4388,617,14755,92,220045,0.6,22.8
Qatar,17142,0,12,0,1924,0,15206,72,109762,0.1,11.2
Israel,16314,25,238,0,10527,62,5549,90,417100,1.5,64.5
Austria,15684,34,608,2,13639,177,1437,97,292254,3.9,87.0
Japan,15253,175,556,20,4496,340,10201,308,186343,3.6,29.5
United Arab Emirates,15192,0,146,0,3153,0,11893,1,1200000,1.0,20.8
Poland,14647,216,723,7,4655,375,9269,160,394270,4.9,31.8
Romania,13837,0,858,17,5454,0,7525,244,205842,6.2,39.4
Ukraine,13184,487,327,11,2097,222,10760,169,144283,2.5,15.9
Indonesia,12438,367,895,23,2317,120,9226,0,121547,7.2,18.6
Bangladesh,11719,790,186,3,1403,0,10130,1,99646,1.6,12.0
South Korea,10806,2,255,1,9333,50,1218,55,643095,2.4,86.4
Denmark,10125,117,503,0,7481,0,2141,49,270680,5.0,73.9
Philippines,10004,320,658,21,1506,98,7840,31,132689,6.6,15.1
Serbia,9677,0,200,0,1723,0,7754,51,111278,2.1,17.8
Colombia,8613,0,378,0,2013,0,6222,128,127105,4.4,23.4
Dominican Republic,8480,0,354,0,1905,0,6221,144,33377,4.2,22.5
Norway,7955,0,215,0,32,0,7708,27,189657,2.7,0.4
Czechia,7899,3,258,1,4017,11,3624,59,278519,3.3,50.9
South Africa,7572,0,148,0,2746,0,4678,36,268064,2.0,36.3
Panama,7523,136,210,7,823,97,6490,88,36483,2.8,10.9
Egypt,7201,0,452,0,1730,0,5019,0,90000,6.3,24.0
Australia,6875,26,97,0,5975,26,803,27,684615,1.4,86.9
Malaysia,6428,45,107,1,4702,135,1619,22,213220,1.7,73.1
Kuwait,5804,0,40,0,2032,0,3732,90,196397,0.7,35.0
Finland,5573,161,246,0,3500,0,1827,48,108112,4.4,62.8
Morocco,5219,0,181,0,1838,0,3200,1,49570,3.5,35.2
Argentina,5020,133,264,2,1472,0,3284,148,69718,5.3,29.3
Algeria,4838,0,470,0,2067,0,2301,22,6500,9.7,42.7
Moldova,4363,0,136,0,1544,0,2683,237,20447,3.1,35.4
Kazakhstan,4298,93,29,0,1299,20,2970,40,320411,0.7,30.2
Luxembourg,3840,0,96,0,3412,0,332,22,49299,2.5,88.9
Bahrain,3720,0,8,0,1762,0,1950,1,155501,0.2,47.4
Afghanistan,3392,168,104,9,458,37,2830,7,13777,3.1,13.5
Hungary,3111,46,373,10,759,50,1979,50,86743,12.0,24.4
Thailand,2989,1,55,1,2761,14,173,61,227860,1.8,92.4
Nigeria,2950,0,98,0,481,0,2371,4,19512,3.3,16.3
Oman,2903,168,13,0,888,30,2002,17,40459,0.4,30.6
Armenia,2782,163,40,0,1135,24,1607,10,26929,1.4,40.8
Ghana,2719,0,18,0,294,0,2407,4,129461,0.7,10.8
Greece,2642,0,146,0,1374,0,1122,35,83750,5.5,52.0
Iraq,2431,0,102,0,1571,0,758,0,113484,4.2,64.6
Uzbekistan,2217,10,10,0,1547,46,660,8,325000,0.5,69.8
Croatia,2112,0,83,0,1560,0,469,14,39973,3.9,73.9
Cameroon,2104,0,64,0,953,0,1087,12,0,3.0,45.3
Azerbaijan,2060,0,26,0,1508,0,526,18,164481,1.3,73.2
Bosnia and Herzegovina,1946,0,79,0,911,0,956,4,35296,4.1,46.8
Guinea,1811,0,10,0,498,0,1303,0,0,0.6,27.5
Bolivia,1802,121,86,4,187,13,1529,3,7651,4.8,10.4
Iceland,1799,0,10,0,1733,0,56,0,51345,0.6,96.3
Bulgaria,1758,54,82,2,360,18,1316,39,51768,4.7,20.5
Estonia,1713,2,55,0,264,3,1394,4,58955,3.2,15.4
Cuba,1685,0,69,0,954,0,662,8,57711,4.1,56.6
North Macedonia,1526,0,86,0,1013,0,427,21,17359,5.6,66.4
New Zealand,1488,2,21,1,1316,14,151,2,160700,1.4,88.4
Ivory Coast,1464,0,18,0,701,0,745,0,11448,1.2,47.9
Slovenia,1445,0,98,0,244,0,1103,17,57504,6.8,16.9
Slovakia,1429,8,25,0,762,21,642,4,104606,1.7,53.3
Lithuania,1428,5,48,2,718,40,662,17,156493,3.4,50.3
Senegal,1329,0,11,0,470,0,848,6,17787,0.8,35.4
Honduras,1270,92,93,10,122,0,1055,10,5653,7.3,9.6
Djibouti,1120,0,2,0,745,0,373,0,14378,0.2,66.5
Hong Kong,1041,0,4,0,932,12,105,2,154989,0.4,89.5
Tunisia,1022,0,43,0,482,0,497,17,25165,4.2,47.2
Latvia,900,4,17,0,464,116,419,3,68627,1.9,51.6
Cyprus,878,0,15,0,296,0,567,15,66975,1.7,33.7
Kyrgyzstan,871,28,12,1,614,14,245,13,59490,1.4,70.5
Kosovo,856,0,26,0,490,0,340,0,0,3.0,57.2
Somalia,835,0,38,0,75,0,722,2,0,4.6,9.0
Albania,820,0,31,0,570,0,219,7,9276,3.8,69.5
Congo (Kinshasa),797,92,35,1,92,2,670,0,0,4.4,11.5
Sudan,778,0,45,0,70,0,663,0,0,5.8,9.0
Sri Lanka,771,0,9,0,215,2,547,1,29378,1.2,27.9
Guatemala,763,33,19,0,79,0,665,5,7200,2.5,10.4
Niger,763,0,38,0,543,0,182,0,5375,5.0,71.2
Costa Rica,755,0,6,0,413,0,336,5,14121,0.8,54.7
Andorra,751,0,46,0,514,0,191,16,1673,6.1,68.4
Lebanon,741,0,25,0,206,0,510,43,42488,3.4,27.8
Mayotte,739,0,9,0,352,0,378,6,3400,1.2,47.6
Cruise Ship,712,0,13,0,645,0,54,4,0,1.8,90.6
Burkina Faso,688,0,48,0,548,0,92,0,0,7.0,79.7
Uruguay,670,0,17,0,468,0,185,10,23811,2.5,69.9
El Salvador,633,46,14,1,219,18,400,4,33628,2.2,34.6
Mali,612,0,32,0,228,0,352,0,2172,5.2,37.3
Georgia,610,6,9,0,269,29,332,6,20579,1.5,44.1
San Marino,589,0,41,0,92,0,456,5,2538,7.0,15.6
Maldives,573,0,2,0,20,0,551,2,9863,0.3,3.5
Channel Islands,545,1,40,-1,406,0,99,0,5342,7.3,74.5
Kenya,535,0,24,0,182,0,329,2,25861,4.5,34.0
Malta,482,0,5,0,403,0,74,1,36945,1.0,83.6
Tanzania,480,0,16,0,167,0,297,7,0,3.3,34.8
Guinea-Bissau,475,62,2,1,24,5,449,0,1500,0.4,5.1
Jamaica,473,2,9,0,56,7,408,0,5993,1.9,11.8
Jordan,471,0,9,0,375,0,87,5,91666,1.9,79.6
Taiwan,439,1,6,0,339,5,94,0,65589,1.4,77.2
Paraguay,431,0,10,0,135,0,286,7,11913,2.3,31.3
Réunion,425,1,0,0,300,0,125,2,17200,0.0,70.6
Gabon,397,0,6,0,93,0,298,1,724,1.5,23.4
Palestine,371,0,2,0,127,0,242,0,32200,0.5,34.2
West Bank and Gaza,371,0,2,0,127,0,242,0,0,0.5,34.2
Venezuela,367,6,10,0,164,6,193,1,490851,2.7,44.7
Mauritius,332,0,10,0,319,0,3,3,18959,3.0,96.1
Isle of Man,326,0,23,0,271,0,32,19,3459,7.1,83.1
Montenegro,324,0,8,0,261,8,55,2,7816,2.5,80.6
Equatorial Guinea,315,0,3,0,13,0,299,0,854,1.0,4.1
Tajikistan,293,0,5,0,0,0,288,0,0,1.7,0.0
Vietnam,271,0,0,0,232,0,39,8,261004,0.0,85.6
Rwanda,261,0,0,0,129,0,132,0,35992,0.0,49.4
Congo (Brazzaville),236,0,10,0,26,0,200,0,0,4.2,11.0
Sierra Leone,199,0,11,0,43,0,145,0,0,5.5,21.6
Faroe Islands,187,0,0,0,185,0,2,0,8157,0.0,98.9
Cabo Verde,186,0,2,0,37,0,147,0,791,1.1,19.9
Martinique,182,1,14,0,83,0,85,5,0,7.7,45.6
Sao Tome and Principe,174,0,3,0,4,0,167,0,175,1.7,2.3
Liberia,170,0,20,0,58,0,92,0,0,11.8,34.1
Chad,170,0,17,0,43,0,110,0,0,10.0,25.3
Myanmar,161,0,6,0,49,0,106,0,9037,3.7,30.4
Burma,161,0,6,0,49,0,106,0,0,3.7,30.4
Guadeloupe,152,0,13,1,104,6,35,4,0,8.6,68.4
Madagascar,151,0,0,0,101,0,50,1,3861,0.0,66.9
Ethiopia,145,0,4,0,91,0,50,0,25135,2.8,62.8
Gibraltar,144,0,0,0,133,0,11,0,2931,0.0,92.4
Zambia,139,1,4,1,92,0,43,1,7277,2.9,66.2
Brunei,139,1,1,0,131,0,7,2,14754,0.7,94.2
French Guiana,138,5,1,0,111,11,26,2,0,0.7,80.4
Togo,128,0,9,0,74,0,45,0,7896,7.0,57.8
Cambodia,122,0,0,0,120,0,2,1,12611,0.0,98.4
Eswatini,119,0,1,0,12,0,106,0,714,0.8,10.1
Trinidad and Tobago,116,0,8,0,103,1,5,0,2080,6.9,88.8
Bermuda,115,0,7,0,54,0,54,4,3374,6.1,47.0
Haiti,101,0,12,0,10,0,79,0,1037,11.9,9.9
Aruba,101,0,2,0,82,0,17,4,1780,2.0,81.2
Uganda,98,0,0,0,55,0,43,0,44110,0.0,56.1
Benin,96,0,2,0,50,0,44,0,0,2.1,52.1
Monaco,95,0,4,0,81,0,10,1,0,4.2,85.3
Guyana,93,1,10,1,27,0,56,3,680,10.8,29.0
Bahamas,89,0,11,0,26,0,52,1,1485,12.4,29.2
CAR,85,0,0,0,10,0,75,0,3498,0.0,11.8
Liechtenstein,82,0,1,0,55,0,26,0,900,1.2,67.1
Nepal,82,0,0,0,16,0,66,0,64492,0.0,19.5
Barbados,82,0,7,0,47,0,28,4,2549,8.5,57.3
Mozambique,81,0,0,0,19,0,62,0,2867,0.0,23.5
Cayman Islands,78,3,1,0,30,16,47,3,2752,1.3,38.5
Sint Maarten,76,0,14,0,44,0,18,7,329,18.4,57.9
Libya,63,0,3,0,23,0,37,0,2338,4.8,36.5
South Sudan,52,0,0,0,0,0,52,0,1247,0.0,0.0
Macau,45,0,0,0,39,0,6,1,0,0.0,86.7
Syria,44,0,3,0,27,0,14,0,0,6.8,61.4
Mongolia,41,0,0,0,13,0,28,0,8946,0.0,31.7
Malawi,41,0,3,0,9,0,29,1,907,7.3,22.0
Eritrea,39,0,0,0,30,0,9,0,0,0.0,76.9
Saint Martin,38,0,3,0,29,0,6,1,0,7.9,76.3
Angola,36,0,2,0,11,0,23,0,3000,5.6,30.6
Zimbabwe,34,0,4,0,5,0,25,0,7642,11.8,14.7
Antigua and Barbuda,25,0,3,0,16,0,6,1,153,12.0,64.0
Timor-Leste,24,0,0,0,20,0,4,0,664,0.0,83.3
Botswana,23,0,1,0,8,0,14,0,8636,4.3,34.8
Yemen,22,0,4,0,1,0,17,0,120,18.2,4.5
Grenada,21,0,0,0,13,0,8,4,1406,0.0,61.9
Laos,19,0,0,0,9,0,10,0,2505,0.0,47.4
Fiji,18,0,0,0,14,0,4,0,1300,0.0,77.8
New Caledonia,18,0,0,0,17,0,1,1,5052,0.0,94.4
Belize,18,0,2,0,16,0,0,0,1043,11.1,88.9
Saint Lucia,18,0,0,0,15,0,3,0,446,0.0,83.3
Gambia,17,0,1,0,9,0,7,0,562,5.9,52.9
St. Vincent Grenadines,17,0,0,0,9,0,8,0,137,0.0,52.9
Nicaragua,16,0,5,0,7,0,4,0,0,31.2,43.8
Namibia,16,0,0,0,8,0,8,0,1122,0.0,50.0
Curaçao,16,0,1,0,13,0,2,0,374,6.2,81.2
Dominica,16,0,0,0,14,0,2,0,416,0.0,87.5
Saint Kitts and Nevis,15,0,0,0,12,0,3,0,318,0.0,80.0
Burundi,15,0,1,0,7,0,7,0,284,6.7,46.7
Falkland Islands,13,0,0,0,13,0,0,0,388,0.0,100.0
Turks and Caicos,12,0,1,0,6,0,5,0,107,8.3,50.0
Vatican City,11,0,0,0,2,0,9,0,0,0.0,18.2
Montserrat,11,0,1,0,7,0,3,1,36,9.1,63.6
Seychelles,11,0,0,0,8,0,3,0,0,0.0,72.7
Greenland,11,0,0,0,11,0,0,0,1332,0.0,100.0
Suriname,10,0,1,0,9,0,0,0,404,10.0,90.0
MS Zaandam,9,0,2,0,0,0,7,0,0,22.2,0.0
Papua New Guinea,8,0,0,0,8,0,0,0,2402,0.0,100.0
Mauritania,8,0,1,0,6,0,1,0,1032,12.5,75.0
Bhutan,7,0,0,0,5,0,2,0,11373,0.0,71.4
St. Barth,6,0,0,0,6,0,0,0,0,0.0,100.0
British Virgin Islands,6,0,1,0,3,0,2,0,0,16.7,50.0
Western Sahara,6,0,0,0,5,0,1,0,0,0.0,83.3
Caribbean Netherlands,6,0,0,0,0,0,6,0,110,0.0,0.0
Anguilla,3,0,0,0,3,0,0,0,0,0.0,100.0
Comoros,3,0,0,0,0,0,3,0,0,0.0,0.0
Saint Pierre Miquelon,1,0,0,0,0,0,1,0,0,0.0,0.0
United States,1263224,4422,74809,564,213109,6906,975306,15827,8005589,5.9,16.9
Spain,253682,0,25857,0,159359,0,68466,2075,1932455,10.2,62.8
Italy,214457,0,29684,0,93245,0,91528,1333,2310929,13.8,43.5
United Kingdom,202235,3,30146,0,872,5,171217,1559,1448010,14.9,0.4
Russia,177160,11231,1625,88,23803,2476,151732,2300,4803192,0.9,13.4
France,174191,0,25809,0,53972,0,94410,3147,1100228,14.8,31.0
Germany,168162,0,7275,0,139900,2204,20987,1884,2755770,4.3,83.2
Turkey,131744,0,3584,0,78202,0,49958,1278,1234724,2.7,59.4
Brazil,126611,463,8588,22,51370,0,66653,8318,339552,6.8,40.6
Iran,101650,0,6418,0,81587,0,13645,2735,531275,6.3,80.3
China,83755,2,4634,0,78722,28,399,23,0,5.5,94.0
Canada,64637,1,4365,0,28171,355,32101,502,973558,6.8,43.6
Peru,54817,0,1533,0,17527,0,35757,717,429458,2.8,32.0
India,53045,58,1787,2,15331,0,35927,0,1357413,3.4,28.9
Belgium,51420,639,8415,76,12980,249,30025,538,493325,16.4,25.2
Netherlands,41420,0,5206,0,89,0,36125,628,243277,12.6,0.2
Saudi Arabia,31938,0,209,0,6783,0,24946,137,389659,0.7,21.2
Switzerland,30060,0,1805,0,25700,0,2555,121,290365,6.0,85.5
Ecuador,29420,-2461,1618,0,3433,0,24369,156,81392,5.5,11.7
Mexico,27634,1609,2704,197,17781,971,7149,378,105664,9.8,64.3
Portugal,26182,0,1089,0,2076,0,23017,136,470234,4.2,7.9
Pakistan,24073,859,564,20,6464,183,17045,111,244778,2.3,26.9
Sweden,23918,0,2941,0,4074,0,16903,425,148500,12.3,17.0
Chile,23048,0,281,0,11189,0,11578,470,232108,1.2,48.5
Ireland,22248,0,1375,0,17110,0,3763,93,214761,6.2,76.9
Singapore,20939,741,20,0,1634,0,19285,23,175604,0.1,7.8
Belarus,19255,0,112,0,4388,0,14755,92,220045,0.6,22.8
Qatar,17972,0,12,0,2070,0,15890,72,112963,0.1,11.5
Israel,16346,36,239,0,10737,100,5370,83,432453,1.5,65.7
Austria,15752,68,609,1,13698,59,1445,92,292254,3.9,87.0
United Arab Emirates,15738,0,157,0,3359,0,12222,1,1200000,1.0,21.3
Japan,15253,0,556,0,4496,0,10201,308,186343,3.6,29.5
Poland,14898,158,737,4,4862,207,9299,160,410468,4.9,32.6
Romania,14499,392,876,12,6144,356,7479,234,226613,6.0,42.4
Ukraine,13691,507,340,13,2396,299,10955,178,151569,2.5,17.5
