countries,infected,deaths,recovered,active,death_rate,recovery_rate,infected_today,deaths_today,recovered_today,critical,tests
North Macedonia,1231,55,224,952,4.5,18.2,0.0,0.0,0.0,9.0,12340.0
Cameroon,1163,43,331,789,3.7,28.5,0.0,0.0,2.0,33.0,0.0
Afghanistan,1143,40,166,937,3.5,14.5,51.0,4.0,16.0,7.0,6422.0
Cuba,1137,38,309,790,3.3,27.2,0.0,0.0,0.0,18.0,30416.0
Ghana,1042,9,99,934,0.9,9.5,0.0,0.0,0.0,4.0,68591.0
Hong Kong,1034,4,678,352,0.4,65.6,4.0,0.0,28.0,8.0,131786.0
Bulgaria,1015,47,174,794,4.6,17.1,40.0,2.0,4.0,34.0,27000.0
Djibouti,945,2,112,831,0.2,11.9,0.0,0.0,0.0,0.0,8955.0
Ivory Coast,916,13,303,600,1.4,33.1,0.0,0.0,0.0,0.0,0.0
Tunisia,901,38,170,693,4.2,18.9,0.0,0.0,0.0,25.0,18165.0
Cyprus,784,12,98,674,1.5,12.5,0.0,0.0,0.0,15.0,37081.0
Nigeria,782,25,197,560,3.2,25.2,0.0,0.0,0.0,2.0,8003.0
Latvia,761,11,133,617,1.4,17.5,13.0,2.0,0.0,5.0,39336.0
Andorra,717,37,282,398,5.2,39.3,0.0,0.0,0.0,17.0,1673.0
Cruise Ship,712,13,644,55,1.8,90.4,0.0,0.0,0.0,7.0,0.0
Guinea,688,6,127,555,0.9,18.5,0.0,0.0,0.0,0.0,0.0
Lebanon,682,22,108,552,3.2,15.8,5.0,1.0,0.0,26.0,22853.0
Costa Rica,669,6,150,513,0.9,22.4,0.0,0.0,0.0,6.0,11387.0
Niger,657,20,127,510,3.0,19.3,0.0,0.0,0.0,0.0,4832.0
Albania,634,27,356,251,4.3,56.2,25.0,1.0,11.0,4.0,6269.0
Kyrgyzstan,612,7,254,351,1.1,41.5,22.0,0.0,38.0,5.0,26147.0
Bolivia,609,37,44,528,6.1,7.2,11.0,3.0,7.0,3.0,4420.0
Burkina Faso,600,38,362,200,6.3,60.3,0.0,0.0,0.0,0.0,0.0
Uruguay,543,12,324,207,2.2,59.7,0.0,0.0,0.0,10.0,13923.0
Honduras,510,46,30,434,9.0,5.9,16.0,0.0,1.0,10.0,2535.0
Kosovo,510,12,93,405,2.4,18.2,0.0,0.0,0.0,0.0,0.0
Channel Islands,496,24,256,216,4.8,51.6,0.0,0.0,0.0,0.0,3320.0
San Marino,476,40,62,374,8.4,13.0,0.0,0.0,0.0,4.0,1820.0
Palestine,474,4,71,399,0.8,15.0,8.0,0.0,0.0,0.0,17329.0
West Bank and Gaza,474,4,71,399,0.8,15.0,8.0,0.0,0.0,0.0,0.0
Malta,443,3,150,290,0.7,33.9,0.0,0.0,0.0,2.0,25645.0
Jordan,428,7,297,124,1.6,69.4,0.0,0.0,0.0,5.0,35000.0
Taiwan,426,6,236,184,1.4,55.4,1.0,0.0,19.0,0.0,56853.0
Senegal,412,5,242,165,1.2,58.7,0.0,0.0,0.0,1.0,466.0
Georgia,411,5,98,308,1.2,23.8,3.0,1.0,1.0,6.0,7611.0
Réunion,410,0,238,172,0.0,58.0,0.0,0.0,0.0,2.0,0.0
Congo (Kinshasa),359,25,45,289,7.0,12.5,9.0,0.0,10.0,0.0,0.0
Mauritius,328,9,243,76,2.7,74.1,0.0,0.0,0.0,3.0,9755.0
Sri Lanka,321,7,104,210,2.2,32.4,11.0,0.0,2.0,2.0,7393.0
Guatemala,316,8,24,284,2.5,7.6,22.0,1.0,0.0,3.0,7200.0
Montenegro,314,5,101,208,1.6,32.2,1.0,0.0,0.0,7.0,5085.0
Mayotte,311,4,117,190,1.3,37.6,0.0,0.0,0.0,4.0,2000.0
Isle of Man,307,9,209,89,2.9,68.1,0.0,0.0,0.0,15.0,2509.0
Kenya,296,14,74,208,4.7,25.0,0.0,0.0,0.0,2.0,14704.0
Venezuela,288,10,122,156,3.5,42.4,3.0,0.0,5.0,4.0,347236.0
Somalia,286,8,4,274,2.8,1.4,0.0,0.0,0.0,2.0,0.0
Tanzania,284,10,11,263,3.5,3.9,30.0,0.0,0.0,7.0,0.0
Vietnam,268,0,222,46,0.0,82.8,0.0,0.0,6.0,8.0,206253.0
Mali,258,14,57,187,5.4,22.1,0.0,0.0,0.0,0.0,0.0
El Salvador,237,7,63,167,3.0,26.6,12.0,0.0,15.0,3.0,14375.0
Jamaica,233,6,27,200,2.6,11.6,10.0,0.0,0.0,0.0,1936.0
Paraguay,213,9,62,142,4.2,29.1,5.0,1.0,9.0,1.0,5878.0
Faroe Islands,185,0,178,7,0.0,96.2,0.0,0.0,0.0,0.0,6270.0
Congo (Brazzaville),165,6,16,143,3.6,9.7,0.0,0.0,0.0,0.0,0.0
Martinique,164,14,73,77,8.5,44.5,1.0,0.0,0.0,6.0,0.0
Gabon,156,1,16,139,0.6,10.3,0.0,0.0,0.0,2.0,572.0
Rwanda,150,0,84,66,0.0,56.0,0.0,0.0,0.0,0.0,6959.0
Guadeloupe,148,12,73,63,8.1,49.3,0.0,0.0,0.0,13.0,0.0
Sudan,140,13,8,119,9.3,5.7,33.0,1.0,0.0,0.0,0.0
Brunei,138,1,116,21,0.7,84.1,0.0,0.0,0.0,2.0,11633.0
Gibraltar,132,0,120,12,0.0,90.9,0.0,0.0,0.0,1.0,1912.0
Cambodia,122,0,110,12,0.0,90.2,0.0,0.0,0.0,1.0,5768.0
Burma,121,5,7,109,4.1,5.8,0.0,0.0,0.0,0.0,0.0
Madagascar,121,0,44,77,0.0,36.4,0.0,0.0,0.0,1.0,2357.0
Myanmar,121,5,7,109,4.1,5.8,0.0,0.0,0.0,0.0,5198.0
